StationName,StationNum,y,x,z,t,t10,t20,r
VARCHAR,VARCHAR,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
稻城,56357,29.05,100.3,3727.7,4.8,917.6,0,654.3
汉源,56376,29.35,102.63,1098,17.8,5770.6,2959.3,756
石棉,56378,29.23,102.35,890.7,17.1,5483.2,2483.9,815.6
峨边,56387,29.23,103.27,642.2,16.7,5260,2805.1,803.8
犍为,56389,29.2,103.95,387.6,17.6,5643,3298.7,1111.5
荣县,56394,29.45,104.43,384.1,17.6,5628.8,3388.2,933.3
自贡,56396,29.35,104.77,352.6,17.9,5719.4,3467.1,989.5
富顺,56399,29.18,104.98,306.2,18,5791.9,3517,1017.1
得荣,56441,28.72,99.28,2422.9,14.8,4524.8,1119.1,347.1
乡城,56443,28.93,99.8,2842,10.8,3008.2,164.7,483.1
德钦,56444,28.48,98.92,3319,6.3,1515.5,0,696.7
德钦,56444,28.48,98.92,3319,5.4,1028.3,0,565.6
木里,56459,27.93,101.27,2426.5,14,4030.9,261.2,810.3
九龙,56462,29,101.5,2925,9.1,2161.8,0,922.6
甘洛,56473,28.95,102.77,1060.3,16.5,5142.8,2270.3,978
冕宁,56474,28.55,102.17,1774,14.1,4188.4,635.4,1106.8
越西,56475,28.65,102.52,1659.5,13.2,3805.1,692,1115.3
喜德,56478,28.3,102.43,1818.1,14.2,4147.3,627.9,1056
昭觉,56479,28,102.85,2132.4,11.1,2893.2,210.8,1032.9
马边,56480,28.82,103.53,564.1,17.1,5413.8,2939.8,976
绥江,56483,28.6,103.95,413.1,17.9,5771.1,3460.7,892.5
雷波,56485,28.27,103.58,1255.8,14,4168.8,1286.1,847.8
雷波,56485,28.27,103.58,1255.8,11.9,3348.4,720.3,839.1
美姑,56487,28.33,103.13,1943.9,12.8,3529.3,425.2,836.6
美姑,56487,28.33,103.13,1943.9,11.2,2849.5,233.7,817
永善,56489,28.23,103.63,877.2,16.6,5170.7,2392,685
沐川,56490,28.95,103.9,396.9,17.3,5496.3,3107.2,1236.7
宜宾,56492,28.8,104.6,340.8,18,5782.1,3551.4,1017.6
南溪,56493,28.85,104.97,292.8,18.1,5825.5,3544.1,995.1
屏山,56494,28.65,104.15,462,18.4,5993.4,3618.7,920
兴文,56496,28.32,105.23,358.2,17.8,5675.5,3254.2,1095.8
盐津,56497,28.1,104.23,448.8,17.8,5687.4,3306.9,1092.7
