number,name,x,y,z
54421,密云上甸子,117.1169968,40.65000153,286.5
54424,平谷,117.0999985,40.15000153,29.39999962
54431,通县,116.6330032,39.91669846,26.89999962
54433,朝阳,116.4830017,39.95000076,36.5
54499,昌平,116.2170029,40.21670151,79.69999695
54501,斋堂,115.6829987,39.96670151,441.1000061
54505,门头沟,116.1169968,39.91669846,93.59999847
54511,北京,116.4666672,39.79999924,31.29999924
54513,石景山,116.1829987,39.93330002,70.80000305
54514,丰台,116.25,39.86669922,56.29999924
54594,大兴,116.3330002,39.75,41.29999924
54596,房山,116,39.70000076,48.90000153
54597,霞云岭,115.7330017,39.73329926,409.1000061
58724,光泽,117.3000031,27.51670074,264
58725,邵武,117.4666672,27.33333397,218
58726,七仙山,117.8333359,27.95000076,1401.900024
58730,武夷山,118.0333328,27.76666641,222.1000061
58731,浦城,118.5333328,27.91666603,276.8999939
58734,建阳,118.1166687,27.33333397,196.8999939
58735,松溪,118.8000031,27.51670074,201.3999939
58736,建瓯,118.8170013,27.36669922,155.8000031
58737,建瓯,118.3166656,27.04999924,154.8999939
58744,寿宁,119.4169998,27.5333004,826.2000122
58747,周宁,119.3499985,27.14999962,900.0999756
58748,福安,119.6500015,27.10000038,46.40000153
58749,柘荣,119.9000015,27.25,670
58754,福鼎,120.1999969,27.33333397,36.20000076
58818,宁化,116.6330032,26.23329926,359.3999939
58819,清流,116.8499985,26.20000076,310
58820,泰宁,117.1666641,26.89999962,342.8999939
58821,将乐,117.3330002,26.73329926,153.8999939
58822,建宁,116.8499985,26.83329964,341.7999878
58823,顺昌,117.8000031,26.79999924,173.6999969
58824,明溪,117.1500015,26.39999962,319.3999939
58826,沙县,117.8000031,26.39999962,119.9000015
58828,三明,117.6169968,26.26670074,213
58834,南平(南平延平区),118.1666641,26.64999962,125.5999985
58836,古田,118.7330017,26.58329964,355.6000061
58837,尤溪,118.1500015,26.16670036,126.6999969
58838,汤川,118.2333298,26.11666679,840
58839,闽清,118.8499985,26.23329926,39.79999924
58843,霞浦,120,26.88330078,12.89999962
58844,闽候,119.1500015,26.14999962,49.59999847
58845,罗源,119.5329971,26.5,57.20000076
58846,宁德,119.5166702,26.66666603,32.40000153
58847,福州,119.2833328,26.08333397,84
58848,连江,119.5329971,26.20000076,7.099999905
58853,台山,120.6999969,27,106.5999985
58911,长汀,116.3666687,25.85000038,310
58912,连城,116.75,25.68330002,381.7999878
58917,武平,116.0670013,25.14999962,266.7999878
58918,上杭,116.4166641,25.04999924,198
58921,永安,117.3499985,25.96666718,206
58923,大田,117.8330002,25.70000076,400.8999939
58926,漳平,117.4166641,25.29999924,205.3000031
58927,龙岩,117.0333328,25.10000038,342.2999878
58928,华安,117.5329971,25.01670074,160.8999939
58929,安溪,118.1500015,25.06669998,89.40000153
58931,九仙山,118.0999985,25.71666718,1653.5
58932,永太,118.9329987,25.86669922,86.30000305
58933,屏南,118.9833298,26.91666603,869.5
58934,永春,118.2669983,25.33329964,170.3000031
58935,德化,118.2330017,25.48329926,516.7999878
58936,仙游,118.6999969,25.36669922,77
58938,秀屿港,118.9830017,25.23329926,22.60000038
58940,福州郊区,119.3330002,26.08329964,25.70000076
58941,长乐,119.5,25.9666996,8
58942,福清,119.3830032,25.7166996,38
58944,平潭,119.7833328,25.51666641,32.40000153
58946,蒲田,119,25.43330002,29.39999962
59113,永定,116.7170029,24.7166996,221.6999969
59122,长太,117.75,24.61669922,42.20000076
59123,天宝热作,117.5166702,24.63333321,45
59124,南靖,117.3669968,24.51670074,28.20000076
59125,平和,117.3170013,24.36669922,36.79999924
59126,漳州,117.6500015,24.5,28.89999962
59127,龙海,117.8333359,24.43333244,32
59129,漳浦,117.5999985,24.13330078,51.09999847
59130,同安,118.1330032,24.7166996,44.90000153
59131,南安,118.3669968,24.9666996,44.90000153
59133,崇武,118.9166641,24.89999962,21.79999924
59134,厦门,118.0666656,24.48333359,139.3999939
59137,晋江,118.5670013,24.81669998,55
59320,诏安,117.1330032,23.76670074,20.39999962
59321,东山,117.5,23.78333282,53.29999924
59322,云宵,117.3669968,23.98329926,20.20000076
52323,马鬃山,97.03333282,41.79999924,1770.400024
52418,敦煌,94.68333435,40.15000153,1139
52424,安西,95.76667023,40.53333282,1170.900024
58015,砀山,116.3333359,34.43333435,44.20000076
58016,肖县,116.9670029,34.18330002,39.20000076
58102,亳州,115.7666702,33.86666489,37.70000076
58107,临泉,115.3830032,33.06669998,36.5
58108,界首,115.3499985,33.26670074,38.70000076
58109,太和,115.7170029,33.16669846,34
58112,天柱山,116.4499969,30.73333359,960
58113,濉汐,116.7829971,33.93330002,32.29999924
58114,涡阳,116.1999969,33.5,31.20000076
58116,淮北,116.8170013,33.98329926,34.20000076
58117,利辛,116.1999969,33.15000153,32.09999847
58118,蒙城,116.5329971,33.28329849,27.5
58122,宿州,116.9833298,33.63333511,25.89999962
58125,灵壁,117.5500031,33.54999924,28.10000038
58126,泗县,117.8669968,33.46670151,20.60000038
58127,怀远,117.1999969,32.96670151,23.20000076
58128,固镇,117.3170013,33.29999924,23.60000038
58129,五河,117.8830032,33.13330078,21
58202,阜南,115.5830002,32.63330078,35.70000076
58203,阜阳,115.7333298,32.86666489,32.70000076
58210,颍上,116.2170029,32.56669998,25.5
58212,凤台,116.6999969,32.71670151,27.29999924
58214,霍邱,116.2829971,32.33330154,36.90000153
58215,寿县,116.7833328,32.54999924,22.70000076
58220,长丰,117.1500015,32.46670151,30
58221,蚌埠,117.3833313,32.95000076,18.70000076
58222,凤阳,117.5500031,32.86669922,28
58223,加山,117.9830017,32.78329849,35.59999847
58224,淮南,117.0169983,32.65000153,36.90000153
58225,定远,117.6669998,32.53329849,76.69999695
58230,全椒,118.2669983,32.09999847,38.20000076
58234,来安,118.4169998,32.45000076,46.40000153
58236,滁州,118.3000031,32.29999924,27.5
58240,天长,119.0169983,32.68330002,21
58305,南溪,115.6169968,31.51670074,178.8000031
58306,金寨,115.8830032,31.68330002,94
58311,六安,116.5,31.75,60.5
58314,霍山,116.3166656,31.39999962,68.09999847
58316,舒城,116.9499969,31.4666996,29.39999962
58317,岳西,116.3669968,30.86669922,431
58319,桐城,116.9499969,31.06666756,85.40000153
58320,肥西,117.1330032,31.73329926,22.70000076
58321,合肥,117.3000031,31.78333282,27
58323,肥东,117.4670029,31.88330078,26.89999962
58326,巢湖,117.8666687,31.61666679,22.39999962
58327,庐江,117.2829971,31.25,21.5
58329,无为,117.9000015,31.31669998,21.10000038
58330,含山,118.1169968,31.7166996,18.5
58331,和县,118.3669968,31.73329926,23.20000076
58334,芜湖,118.3666687,31.33333397,14.80000019
58335,当涂,118.5,31.56669998,13.60000038
58336,马鞍山,118.5169983,31.70000076,20.10000038
58337,繁昌,118.1829987,31.08329964,27.29999924
58338,芜湖,118.5833359,31.14999962,21.10000038
58414,太湖,116.2829971,30.43330002,38.79999924
58415,潜山,116.5830002,30.63330078,35.79999924
58416,怀宁,116.6500015,30.41670036,16.60000038
58417,宿松,116.1330032,30.16670036,53.5
58418,望江,116.6999969,30.13330078,20.79999924
58419,东至,117.0169983,30.10000038,23
58420,枞阳,117.2170029,30.7166996,34.90000153
58421,青阳,117.8669968,30.63330078,32.70000076
58423,九华山,117.7829971,30.48329926,643.2000122
58424,安庆,117.0500031,30.53333282,19.79999924
58426,太平,118.1330032,30.29999924,194.8000031
58427,贵池,117.4830017,30.66670036,39.40000153
58428,石台,117.4830017,30.2833004,65
58429,铜陵,117.7829971,30.9666996,37.79999924
58431,南陵,118.3170013,30.85000038,13.89999962
58432,泾县,118.4000015,30.68330002,36.59999847
58433,宣城,118.75,30.93330002,34
58435,旌德,118.5329971,30.29999924,218.3999939
58436,宁国,118.9833298,30.61666679,89.40000153
58437,黄山,118.1500015,30.13333321,1840.400024
58438,绩溪,118.5830002,30.08329964,193.3999939
58441,广德,119.4169998,30.88330078,46.79999924
58442,郎汐,119.1829987,31.13330078,16.70000076
58520,祁门,117.7170029,29.85000038,139.3999939
58523,黟县,117.9329987,29.93330002,227.3000031
58530,歙县,118.4329987,29.86669922,169.8999939
58531,屯溪,118.2833328,29.71666718,142.6999969
58534,休宁,118.1829987,29.7833004,170.3000031
54398,顺义,116.6330032,40.11669922,39.5
54399,海淀,116.2829971,39.98329926,46.29999924
54406,延庆,115.9670029,40.45000076,489
54409,八达岭,116,40.34999847,633.2000122
54410,佛爷顶,116.1330032,40.59999847,1216.900024
54412,汤河口,116.6330032,40.73329926,333.7000122
54416,密云,116.8666687,40.38333511,71.80000305
54419,怀柔,116.6330032,40.31669998,60.59999847
54308,丰宁,116.6333313,41.21666718,661.2000122
54311,围场,117.75,41.93333435,842.7999878
54318,隆化,117.7170029,41.81669998,562.2999878
54319,平泉,118.6669998,41,504.8999939
54401,张家口,114.8833313,40.78333282,724.2000122
54404,赤城,115.8330002,40.90000153,887.2999878
54405,怀来,115.5,40.40000153,536.7999878
54408,涿鹿,115.2170029,40.38330078,530.7999878
54420,滦平,117.3330002,40.93330002,535.7999878
54422,承德市,117.9499969,41,385.6000061
54423,承德,117.9499969,40.98333359,385.8999939
54425,兴隆,117.4830017,40.41669846,583.5999756
54429,遵化,117.9499969,40.20000076,54.90000153
54430,承德县,118.1669998,40.76670074,269.1000061
54432,宽城,118.4830017,40.59999847,305.2000122
